OBJECTID,Kód_ADM,Kód_obce,Název_obce,Název_MOMC,Název_MOP,Kód_části_obce,Název_části_obce,Název_ulice,Typ_SO,Číslo_domovní,Číslo_orientační,Znak_čísla_orientačního,PSČ,Souřadnice_Y,Souřadnice_X,Platí_Od,x,y
1,"21,692,807","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Bílkova,č.p.,6,8,,"11,000","742,838.000000000000000","1,042,620.000000000000000",2013-12-11T00:00:00,"458,598.601585492490000","5,548,988.268017081500000"
2,"21,692,815","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Dušní,č.p.,6,15,,"11,000","742,837.380000000000000","1,042,627.280000000000000",2013-12-11T00:00:00,"458,600.152466379110000","5,548,981.129422482100000"
3,"21,692,823","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Dušní,č.p.,7,13,,"11,000","742,832.930000000050000","1,042,646.990000000000000",2013-12-11T00:00:00,"458,607.099291707390000","5,548,962.158634793000000"
4,"21,692,831","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Dušní,č.p.,8,11,,"11,000","742,832.739999999990000","1,042,665.600000000000000",2013-12-11T00:00:00,"458,609.680727854370000","5,548,943.730742584900000"
5,"21,692,840","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Dušní,č.p.,9,9,,"11,000","742,828.000000000000000","1,042,685.000000000000000",2013-12-11T00:00:00,"458,616.875236804600000","5,548,925.104619186400000"
6,"21,692,858","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,U Svatého ducha,č.p.,9,3,,"11,000","742,834.000000000000000","1,042,695.000000000000000",2013-12-11T00:00:00,"458,612.211915409190000","5,548,914.417817657800000"
7,"21,692,866","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Elišky Krásnohorské,č.p.,10,2,,"11,000","742,859.000000000000000","1,042,688.000000000000000",2013-12-11T00:00:00,"458,586.523400893430000","5,548,918.143808903200000"
8,"21,692,874","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,U Svatého ducha,č.p.,10,1,,"11,000","742,851.000000000000000","1,042,695.000000000000000",2013-12-11T00:00:00,"458,595.355810265060000","5,548,912.231821363800000"
9,"21,692,882","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Elišky Krásnohorské,č.p.,11,4,,"11,000","742,857.089999999970000","1,042,670.130000000000000",2013-12-11T00:00:00,"458,586.119345024230000","5,548,936.108006263200000"
10,"21,692,891","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Elišky Krásnohorské,č.p.,12,5,,"11,000","742,878.150000000020000","1,042,706.890000000000000",2013-12-11T00:00:00,"458,569.964543879030000","5,548,896.951395863700000"
11,"21,692,904","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Elišky Krásnohorské,č.p.,13,3,,"11,000","742,874.920000000040000","1,042,722.880000000000000",2013-12-11T00:00:00,"458,575.223345928830000","5,548,881.512212006400000"
12,"21,693,536","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Bílkova,č.p.,122,6,,"11,000","742,864.000000000000000","1,042,623.000000000000000",2013-12-11T00:00:00,"458,573.207427171990000","5,548,981.950148996000000"
13,"21,693,544","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Elišky Krásnohorské,č.p.,122,8,,"11,000","742,872.000000000000000","1,042,635.000000000000000",2013-12-11T00:00:00,"458,566.818211717530000","5,548,969.023116866100000"
14,"21,693,552","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Elišky Krásnohorské,č.p.,123,6,,"11,000","742,861.120000000000000","1,042,652.840000000000000",2013-12-11T00:00:00,"458,579.900149719790000","5,548,952.733305143200000"
15,"21,693,561","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Elišky Krásnohorské,č.p.,124,1,,"11,000","742,864.000000000000000","1,042,738.000000000000000",2013-12-11T00:00:00,"458,587.995184645060000","5,548,867.924499379500000"
16,"21,693,579","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Široká,č.p.,124,15,,"11,000","742,872.000000000000000","1,042,751.000000000000000",2013-12-11T00:00:00,"458,581.734560186970000","5,548,854.005938582100000"
17,"21,693,587","554,782",Praha,Praha 1,Praha 1,"127,001",Josefov,Pařížská,č.p.,125,16,,"11,000","742,905.000000000000000","1,042,753.000000000000000",2013-12-11T00:00:00,"458,549.271062005310000","5,548,847.779476855000000"
