OBJECTID,file,X,Y
1,new_01.JPG,"458,646.699699999760000","5,548,838.189899999600000"
2,new_02.JPG,"458,637.015999999830000","5,548,845.060000000500000"
3,new_03.JPG,"458,683.954499999990000","5,548,850.565300000800000"
4,new_05.JPG,"458,660.801500000060000","5,548,914.370899999500000"
5,new_06.JPG,"458,676.661500000390000","5,548,909.615100000100000"
6,new_07.JPG,"458,654.031200000080000","5,548,938.206000000200000"
7,new_08.JPG,"458,640.668300000020000","5,548,931.823100000600000"
8,new_09.JPG,"458,650.452300000000000","5,548,937.924799999200000"
9,new_10.JPG,"458,652.956399999560000","5,548,927.712799999900000"
10,new_11.JPG,"458,698.048999999650000","5,549,028.672299999700000"
11,new_12.JPG,"458,690.041500000280000","5,549,021.012499999300000"
12,new_13.JPG,"458,718.140100000430000","5,549,057.241599999400000"
13,new_14.JPG,"458,722.751899999570000","5,549,011.184900000700000"
14,new_15.JPG,"458,754.124099999670000","5,549,008.162799999100000"
15,new_16.JPG,"458,796.338600000370000","5,548,993.938100000800000"
16,new_17.JPG,"458,773.767900000330000","5,548,953.032900000000000"
17,new_18.JPG,"458,735.916199999860000","5,548,914.716800000500000"
18,new_19.JPG,"458,736.957399999720000","5,548,920.886099999800000"
19,new_20.JPG,"458,745.551500000060000","5,548,927.305900000000000"
21,new_22.JPG,"458,773.554999999700000","5,548,951.181399999200000"
22,new_23.JPG,"458,844.677400000390000","5,548,923.452700000300000"
23,new_24.JPG,"458,835.600300000050000","5,548,957.497999999700000"
24,new_25.JPG,"458,849.115299999710000","5,548,932.066800000100000"
25,new_26.JPG,"458,945.795699999670000","5,548,946.148600000900000"
26,new_27.JPG,"458,946.850899999960000","5,548,954.171099999900000"
27,new_28.JPG,"458,929.638899999670000","5,548,912.297499999400000"
28,new_29.JPG,"459,010.813000000080000","5,549,029.043400000800000"
29,new_30.JPG,"458,966.327100000340000","5,549,032.164599999800000"
30,new_31.JPG,"458,926.427799999710000","5,549,037.413200000300000"
31,new_32.JPG,"458,950.538399999960000","5,549,046.184900000700000"
32,new_33.JPG,"458,955.508200000040000","5,549,046.455600000900000"
33,new_34.JPG,"458,924.433299999680000","5,548,855.506200000600000"
34,new_35.JPG,"458,926.554899999870000","5,548,847.150499999500000"
35,new_36.JPG,"458,863.783800000320000","5,548,824.159499999100000"
36,new_37.JPG,"458,781.038599999620000","5,548,813.677999999400000"
37,new_38.JPG,"458,794.314799999820000","5,548,834.578500000800000"
38,new_39.JPG,"458,795.202399999830000","5,548,846.617499999700000"
39,new_40.JPG,"458,789.680800000210000","5,548,877.855499999600000"
44,old_01.JPG,"458,621.327899999920000","5,548,897.688699999800000"
45,old_02.JPG,"458,629.742600000460000","5,548,906.580800000600000"
46,old_03.JPG,"458,718.727900000290000","5,549,004.729699999100000"
47,old_04.JPG,"458,735.434899999760000","5,549,006.762800000600000"
48,old_05.JPG,"458,766.552099999970000","5,548,970.694000000100000"
49,old_06.JPG,"458,768.888700000010000","5,548,964.498600000500000"
50,old_07.JPG,"458,768.888700000010000","5,548,964.498600000500000"
52,old_09.JPG,"458,850.796299999580000","5,548,969.735600000200000"
53,old_10.JPG,"458,848.133700000120000","5,548,933.618699999500000"
54,old_11.JPG,"458,698.069400000390000","5,548,851.382700000000000"
