,address,X,Y,probab
154,a149,458770.8374688681,5548966.243594781,1.3200562554718493
107,a213,458733.44652206637,5548918.404730605,0.8764603831209488
138,a115,458796.183534218,5548848.546219157,0.8470357662057176
221,a179,458729.7042723894,5549011.319374293,0.7632406554680541
7,a180,458741.6398748886,5549004.801624117,0.7011721769836907
151,a27,458662.46881753486,5548907.828775866,0.6863737399380595
244,a151,458782.4787148917,5548969.769704897,0.6797142912179693
246,a153,458792.5054439157,5548995.307235587,0.6748588033090167
170,a256,458645.7815533206,5548842.147853639,0.6661527842063918
124,a214,458764.6512019951,5548936.203427482,0.6411878240145177
123,a215,458751.6326526152,5548935.523310326,0.6408662065334851
5,a182,458751.8325293157,5548972.852755444,0.6374275865056807
141,a29,458652.110393147,5548948.8299819995,0.6370478733085585
144,a119,458834.8872684222,5548933.606806232,0.6351892045243012
4,a183,458747.55497627985,5548959.191374389,0.6307053164509206
152,a26,458669.5923880171,5548922.8674500715,0.6251798115541485
185,a178,458711.27842599805,5549002.346238317,0.6212430000315665
149,a25,458646.4756597532,5548906.762894576,0.6060894970866043
243,a150,458755.08136929385,5548994.446353503,0.6006084345836046
245,a152,458788.04215946794,5548973.515814168,0.5966186396534553
122,a216,458762.91777203046,5548917.851130029,0.5846329976167902
248,a252,458852.2549003763,5548952.605397213,0.5774767403636941
0,a187,458691.81023644283,5549031.418587474,0.5736657269787998
36,a35,458680.59068956133,5548931.351197148,0.5650462209451749
6,a181,458738.72062896006,5548986.49718431,0.5643395464891433
108,a212,458720.77032657806,5548909.64289232,0.5507283211020209
3,a184,458726.5741175087,5548955.926026637,0.5497129287117356
143,a237,458755.8419543449,5549019.911385935,0.5376874443673555
186,a28,458635.5114673553,5548944.660931664,0.5355834298573682
33,a36,458695.243721663,5548927.202265866,0.5348047563492495
201,a207,458694.9593589613,5548844.734673625,0.5324300505547144
166,a263,458777.92997388914,5549004.688718375,0.5277879817472922
162,a146,458811.27041795384,5548965.43795187,0.5271688263460171
200,a206,458679.1994040245,5548856.563710555,0.5182089007685422
34,a37,458710.5821957225,5548945.98811616,0.5132929386969108
190,a175,458729.3727392582,5549029.424039327,0.5082177956263503
1,a186,458695.64062604867,5549000.328321947,0.5069885925443853
140,a117,458809.47323954105,5548924.876751965,0.504808593593766
125,a118,458790.26842589956,5548894.156467209,0.5036852105762271
253,a251,458864.38012284227,5548924.335050687,0.5034083382437293
121,a217,458759.412018246,5548896.839216938,0.49297662995952846
120,a210,458682.6310632238,5548892.295869768,0.49226031567223866
188,a177,458708.6260740403,5549034.536988918,0.49219185414340333
163,a145,458837.53320379835,5548979.4400769975,0.4907494354225517
161,a147,458810.33311546687,5548980.439446155,0.4886749165133453
210,a126,458949.60510275234,5549033.788145488,0.48804847104266497
119,a211,458706.52804718073,5548900.829185514,0.4867237677773524
35,a34,458679.3319656281,5548957.693627069,0.4779613902127524
57,a138,458943.7473031068,5549040.085894093,0.4772656386224871
184,a253,458866.1735726623,5548946.344825368,0.47380521534793374
139,a116,458781.0161455963,5548856.661256667,0.4728082000615758
29,a32,458644.4895207137,5548960.948308997,0.4673643383599092
53,a136,458931.3345248299,5549042.508946532,0.46162115121290714
223,a209,458681.71388502885,5548876.045669252,0.46054725772416905
153,a218,458755.87559084315,5548879.251217024,0.4578767001864875
81,a205,458667.5953353271,5548844.976792224,0.457221809973435
46,a5,458616.8752368046,5548925.104619186,0.45666055820785106
164,a144,458850.59389623627,5548988.191285102,0.455463440125725
239,a154,458796.1097016325,5549014.859944176,0.4549512028040722
187,a176,458736.14772068243,5549039.376487015,0.4457000325463852
14,a189,458673.9753432879,5549021.2315898035,0.445196731434583
177,a75,458870.088861675,5548823.176290236,0.44413986898874463
